weathersit,cnt,chart_type,hr,weekday,day_type
1.0,4876.7861771058315,Pengaruh Cuaca terhadap Jumlah Penyewaan,,,
2.0,4035.862348178138,Pengaruh Cuaca terhadap Jumlah Penyewaan,,,
3.0,1803.2857142857142,Pengaruh Cuaca terhadap Jumlah Penyewaan,,,
,9775.0,Hari dan Jam Penyewaan Tertinggi,0.0,0.0,
,3571.0,Hari dan Jam Penyewaan Tertinggi,0.0,1.0,
,2790.0,Hari dan Jam Penyewaan Tertinggi,0.0,2.0,
,3594.0,Hari dan Jam Penyewaan Tertinggi,0.0,3.0,
,4045.0,Hari dan Jam Penyewaan Tertinggi,0.0,4.0,
,5453.0,Hari dan Jam Penyewaan Tertinggi,0.0,5.0,
,9902.0,Hari dan Jam Penyewaan Tertinggi,0.0,6.0,
,8053.0,Hari dan Jam Penyewaan Tertinggi,1.0,0.0,
,1800.0,Hari dan Jam Penyewaan Tertinggi,1.0,1.0,
,1254.0,Hari dan Jam Penyewaan Tertinggi,1.0,2.0,
,1595.0,Hari dan Jam Penyewaan Tertinggi,1.0,3.0,
,1774.0,Hari dan Jam Penyewaan Tertinggi,1.0,4.0,
,2571.0,Hari dan Jam Penyewaan Tertinggi,1.0,5.0,
,7117.0,Hari dan Jam Penyewaan Tertinggi,1.0,6.0,
,6286.0,Hari dan Jam Penyewaan Tertinggi,2.0,0.0,
,1021.0,Hari dan Jam Penyewaan Tertinggi,2.0,1.0,
,687.0,Hari dan Jam Penyewaan Tertinggi,2.0,2.0,
,797.0,Hari dan Jam Penyewaan Tertinggi,2.0,3.0,
,934.0,Hari dan Jam Penyewaan Tertinggi,2.0,4.0,
,1325.0,Hari dan Jam Penyewaan Tertinggi,2.0,5.0,
,5302.0,Hari dan Jam Penyewaan Tertinggi,2.0,6.0,
,3239.0,Hari dan Jam Penyewaan Tertinggi,3.0,0.0,
,496.0,Hari dan Jam Penyewaan Tertinggi,3.0,1.0,
,382.0,Hari dan Jam Penyewaan Tertinggi,3.0,2.0,
,484.0,Hari dan Jam Penyewaan Tertinggi,3.0,3.0,
,497.0,Hari dan Jam Penyewaan Tertinggi,3.0,4.0,
,673.0,Hari dan Jam Penyewaan Tertinggi,3.0,5.0,
,2403.0,Hari dan Jam Penyewaan Tertinggi,3.0,6.0,
